Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",52158881,Kilogram,1098527,Number of item,"123,709,926"
40118011,"New rubber pneumatic tyres with herring-bone""",10435272,Kilogram,368775,Number of item,"25,001,996"
40118012,"New rubber pneumatic tyres with herring-bone""",27173072,Kilogram,103618,Number of item,"67,734,672"
1012900,"Live horses, not pure-bred breeding",1500,Kilogram,3,Number of item,"8,000"
1013090,"Live asses, not pure-bred breeding",8500,Kilogram,34,Number of item,"75,820"
1029090,"Other live bovine animals, not pure-bred breeding",10413714,Kilogram,16327,Number of item,"57,989,051"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",81367018,Kilogram,718182,Number of item,"521,233,335"
1042090,"Live goats, not pure-bred breeding",46240,Kilogram,1429,Number of item,"380,908"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",165928,Kilogram,3440460,Number of item,"1,708,267"
1059490,"Live chicken>185g, not pure-bred breeding",56853,Kilogram,25057,Number of item,"130,348"
1061190,"Primates, not pure-bred breeding",2177,Kilogram,636,Number of item,"1,512,180"
1061490,"Rabbits&hares, not for pure-bred breeding",18755,Kilogram,7439,Number of item,"707,749"
1061910,"Other mammals, for pure-bred breeding",3460,Kilogram,346,Number of item,"257,146"
1061990,"Other edible mammals, not pure-bred breeding",74407,Kilogram,216041,Number of item,"5,501,072"
1062020,Edible reptiles,1007733,Kilogram,709873,Number of item,"8,617,196"
1062090,"Reptiles, nes",19787,Kilogram,1810015,Number of item,"862,545"
1064910,"Other insects, for pure-bred breeding",5,Kilogram,4800,Number of item,102
1064990,"Other insects, not for pure-bred breeding",13025,Kilogram,16022670,Number of item,"32,588"
1069090,"Other live animals, not for pure-bred breeding",95677,Kilogram,227018668,Number of item,"648,778"
2022000,Frozen unboned bovine meat (excl. carcasses),4546,Kilogram,0,?,"29,920"
2023000,Frozen boneless bovine meat,92100,Kilogram,0,?,"727,465"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",320091,Kilogram,0,?,"3,110,307"
2031900,Other fresh or chilled swine meat,1539588,Kilogram,0,?,"14,258,097"
2032110,Frozen carcasses&half carcasses of sucking pig,10000,Kilogram,0,?,"103,226"
2032190,"Frozen swine carcasses&half carcasses, nes",598950,Kilogram,0,?,"3,567,426"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",16125,Kilogram,0,?,"51,116"
2032900,Other frozen swine meat,8154395,Kilogram,0,?,"68,280,074"
2042200,Fresh or chilled unboned meat of sheep,21,Kilogram,0,?,548
2044200,Frozen unboned meat of sheep,530202,Kilogram,0,?,"5,505,109"
2044300,Frozen boneless meat of sheep,265856,Kilogram,0,?,"2,665,225"
2045000,"Fresh, chilled or frozen goat meat",930279,Kilogram,0,?,"11,208,092"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",106825,Kilogram,0,?,"1,514,749"
2062900,Frozen edible bovine offal (excl. tongues&livers),72000,Kilogram,0,?,"72,887"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",103681,Kilogram,0,?,"405,720"
2071100,Fresh or chilled whole chickens,71768728,Kilogram,0,?,"251,889,140"
2071200,Frozen whole chickens,2670214,Kilogram,0,?,"8,729,708"
2071311,"Fresh or chilled cuts of chicken, with bone",1332294,Kilogram,0,?,"5,200,576"
2071319,Fresh or chilled boneless cuts of chicken,3130,Kilogram,0,?,"9,891"
2071321,Fresh or chilled midjoint wing of chicken,556,Kilogram,0,?,"2,057"
2071329,"Fresh or chilled offal of chicken, nes",178545,Kilogram,0,?,"598,399"
2071411,"Frozen chicken cuts, with bone",18509411,Kilogram,0,?,"37,370,941"
2071419,"Frozen chicken cuts, nes",63884109,Kilogram,0,?,"125,797,812"
2071421,Frozen midjoint wing of chicken,1604963,Kilogram,0,?,"7,846,262"
2071422,Frozen chicken claw,71572,Kilogram,0,?,"79,735"
2071429,"Frozen offal of chicken, nes",1238395,Kilogram,0,?,"1,589,882"
2072700,Frozen cuts&offal of turkeys,596,Kilogram,0,?,"3,276"
2074100,Fresh or chilled whole ducks,19914691,Kilogram,0,?,"45,548,165"
2074200,Frozen whole ducks,5460776,Kilogram,0,?,"10,047,064"
2074300,Fresh or chilled fatty duck livers,214000,Kilogram,0,?,"131,129"
2074400,Fresh or chilled cuts&offal of ducks,180052,Kilogram,0,?,"421,699"
2074500,Frozen cuts&offal of ducks,3531874,Kilogram,0,?,"5,545,997"
2075100,Fresh or chilled whole geese,10983380,Kilogram,0,?,"55,325,251"
2075200,Frozen whole geese,21026,Kilogram,0,?,"110,517"
2075400,Fresh or chilled cuts&offal of geese,82121,Kilogram,0,?,"296,123"
2075500,Frozen cuts&offal of geese,240,Kilogram,0,?,"1,307"
2081020,"Frozen meat of rabbits, excl. head",4266294,Kilogram,0,?,"19,453,577"
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",3330303,Kilogram,0,?,"18,542,398"
