"Date of data","Commodity code","Commodity","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"201901","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","14752","Number of item","4322646","Kilogram","12,631,986",
"201902","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","4512","Number of item","1368577","Kilogram","5,495,112",
"201903","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","14181","Number of item","4136490","Kilogram","11,914,307",
"201904","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","21737","Number of item","5907263","Kilogram","15,782,357",
"201905","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","23080","Number of item","6215230","Kilogram","17,757,531",
"201906","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","28466","Number of item","7375538","Kilogram","21,749,417",
"201907","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","29562","Number of item","8363873","Kilogram","32,219,998",
"201908","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","24407","Number of item","7416090","Kilogram","35,340,166",
"201909","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","21598","Number of item","6977161","Kilogram","41,724,982",
"201910","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","15859","Number of item","8096698","Kilogram","69,513,941",
"201911","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","22817","Number of item","10217459","Kilogram","79,157,287",
"201912","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","19356","Number of item","10979568","Kilogram","94,810,111",
