Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",258737,Kilogram,1468,Number of item,"992,616"
40118011,"New rubber pneumatic tyres with herring-bone""",141291,Kilogram,3565,Number of item,"559,581"
40118012,"New rubber pneumatic tyres with herring-bone""",321247,Kilogram,706,Number of item,"2,095,714"
1012900,"Live horses, not pure-bred breeding",88150,Kilogram,219,Number of item,"4,508,635"
1022100,Live pure-bred breeding cattles,3809202,Kilogram,13598,Number of item,"35,823,700"
1022900,"Live cattles, not pure-bred breeding",5708012,Kilogram,18796,Number of item,"37,941,584"
1041090,"Live sheep, not pure-bred breeding",1005920,Kilogram,24480,Number of item,"2,117,770"
1042090,"Live goats, not pure-bred breeding",103153,Kilogram,3557,Number of item,"4,496,520"
1051110,Live chicken¡Ü185g for pure-bred breeding,3745,Kilogram,86528,Number of item,"2,096,140"
1061910,"Other mammals, for pure-bred breeding",430,Kilogram,4,Number of item,"400,000"
1061990,"Other edible mammals, not pure-bred breeding",126,Kilogram,3981,Number of item,"1,622,347"
1062019,"Other reptiles, for pure-bred breeding",8428,Kilogram,4710,Number of item,"30,753"
1064910,"Other insects, for pure-bred breeding",0,Kilogram,160,Number of item,181
1064990,"Other insects, not for pure-bred breeding",1,Kilogram,3908,Number of item,"5,145"
1069090,"Other live animals, not for pure-bred breeding",0,Kilogram,204,Number of item,"2,383"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),67075,Kilogram,0,?,"1,965,733"
2013000,Fresh or chilled boneless bovine meat,7905048,Kilogram,0,?,"102,018,607"
2021000,Frozen bovine carcasses&half carcasses,38431,Kilogram,0,?,"109,594"
2022000,Frozen unboned bovine meat (excl. carcasses),58037214,Kilogram,0,?,"176,042,324"
2023000,Frozen boneless bovine meat,356764194,Kilogram,0,?,"2,000,176,033"
2031900,Other fresh or chilled swine meat,1255,Kilogram,0,?,"13,161"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",104435120,Kilogram,0,?,"246,037,288"
2032900,Other frozen swine meat,271702395,Kilogram,0,?,"715,061,776"
2042200,Fresh or chilled unboned meat of sheep,17439,Kilogram,0,?,"522,782"
2042300,Fresh or chilled boneless meat of sheep,14672,Kilogram,0,?,"233,801"
2043000,Frozen lamb carcasses&half carcasses,1317035,Kilogram,0,?,"5,483,258"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),9033282,Kilogram,0,?,"35,170,784"
2044200,Frozen unboned meat of sheep,52448100,Kilogram,0,?,"228,752,712"
2044300,Frozen boneless meat of sheep,4886199,Kilogram,0,?,"21,599,268"
2045000,"Fresh, chilled or frozen goat meat",144360,Kilogram,0,?,"644,578"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",9475275,Kilogram,0,?,"18,080,422"
2062100,Frozen bovine tongues,107187,Kilogram,0,?,"1,070,408"
2062200,Frozen bovine livers,13416,Kilogram,0,?,"8,792"
2062900,Frozen edible bovine offal (excl. tongues&livers),5358492,Kilogram,0,?,"31,556,913"
2064100,Frozen swine livers,109081,Kilogram,0,?,"68,848"
2064900,Frozen edible swine offal (excl. livers),175368039,Kilogram,0,?,"487,784,689"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",516698,Kilogram,0,?,"2,133,717"
2071200,Frozen whole chickens,1140715,Kilogram,0,?,"1,911,061"
2071411,"Frozen chicken cuts, with bone",40231361,Kilogram,0,?,"50,472,482"
2071419,"Frozen chicken cuts, nes",1083399,Kilogram,0,?,"2,212,915"
2071421,Frozen midjoint wing of chicken,57790317,Kilogram,0,?,"199,888,588"
2071422,Frozen chicken claw,92403268,Kilogram,0,?,"407,171,700"
2071429,"Frozen offal of chicken, nes",12053161,Kilogram,0,?,"24,078,904"
2072700,Frozen cuts&offal of turkeys,2934606,Kilogram,0,?,"10,338,127"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",405369,Kilogram,0,?,"2,860,449"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",1105518,Kilogram,0,?,"1,733,214"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",212666,Kilogram,0,?,"3,818,757"
